1111 | Fixed (RM 50) | 2026-02-05T00:39:26.586366400
2222 | Fixed (RM 50) | 2026-02-05T00:41:36.421957400
AAAA | Fixed (RM 50) | 2026-02-05T11:20:34.205874100
EEEE | Fixed (RM 50) | 2026-02-05T11:45:18.585119300
BBB5656 | Fixed (RM 50) | 2026-02-11T01:12:51.039939800
DDD5555 | Hourly (RM 20/hr) | 2026-02-11T01:59:19.567464800
AAAA6666 | Progressive | 2026-02-11T02:09:36.649587200
BBB6666 | Hourly (RM 20/hr) | 2026-02-11T02:12:20.326011400
VVV9999 | Fixed (RM 50) | 2026-02-11T02:22:04.240159200
MMM6666 | Fixed (RM 50) | 2026-02-11T02:30:46.537523600
ZZZ9999 | Fixed (RM 50) | 2026-02-11T02:33:43.919401400
JDT666 | Fixed (RM 50) | 2026-02-11T19:26:10.410532600
JJJJ | Hourly (RM 20/hr) | 2026-02-11T21:41:31.308461600
HHHH | Fixed (RM 50) | 2026-02-11T21:47:42.251514400
CHIN123 | Progressive | 2026-02-12T22:36:13.382271400
JJJ1 | Progressive | 2026-02-12T22:41:49.398897700
HHHN | Fixed (RM 50) | 2026-02-12T22:56:56.469173500
DDD123 | Fixed (RM 50) | 2026-02-12T23:03:14.698909800
OOOO | Fixed (RM 50) | 2026-02-12T23:27:41.320337700
